datetime,pm1,pm25
2021-02-12 16:00:00+00:00,0.21,0.96
2021-02-12 17:00:00+00:00,16.0,27.0
2021-02-12 18:00:00+00:00,17.0,27.0
2021-02-12 19:00:00+00:00,9.3,15.0
2021-02-12 20:00:00+00:00,1.6,4.1
2021-02-12 21:00:00+00:00,0.58,2.0
2021-02-12 22:00:00+00:00,0.54,1.9
2021-02-12 23:00:00+00:00,0.3,1.4
2021-02-13 00:00:00+00:00,0.0,0.7
2021-02-13 04:00:00+00:00,1.4,3.1
2021-02-13 05:00:00+00:00,2.1,4.3
2021-02-13 06:00:00+00:00,2.6,5.7
2021-02-13 07:00:00+00:00,3.1,6.2
2021-02-13 08:00:00+00:00,5.0,8.8
2021-02-13 09:00:00+00:00,8.1,13.0
2021-02-13 10:00:00+00:00,9.1,16.0
2021-02-13 11:00:00+00:00,5.0,9.3
2021-02-13 12:00:00+00:00,2.7,6.1
2021-02-13 13:00:00+00:00,3.0,6.2
2021-02-13 14:00:00+00:00,3.4,6.8
2021-02-13 15:00:00+00:00,4.4,8.8
2021-02-13 16:00:00+00:00,4.5,9.0
2021-02-13 17:00:00+00:00,6.3,11.0
2021-02-13 18:00:00+00:00,5.5,11.0
2021-02-13 19:00:00+00:00,6.9,13.0
2021-02-13 20:00:00+00:00,5.0,9.9
2021-02-13 21:00:00+00:00,4.0,8.3
2021-02-13 22:00:00+00:00,4.6,9.4
2021-02-13 23:00:00+00:00,4.8,9.7
2021-02-14 00:00:00+00:00,5.7,11.0
2021-02-14 01:00:00+00:00,8.3,15.0
2021-02-14 02:00:00+00:00,8.7,15.0
2021-02-14 03:00:00+00:00,10.0,17.0
2021-02-14 04:00:00+00:00,11.0,17.0
2021-02-14 05:00:00+00:00,11.0,18.0
2021-02-14 06:00:00+00:00,10.0,16.0
2021-02-14 07:00:00+00:00,9.0,14.0
2021-02-14 08:00:00+00:00,10.0,16.0
2021-02-14 09:00:00+00:00,9.7,15.0
2021-02-14 10:00:00+00:00,9.5,15.0
2021-02-14 11:00:00+00:00,8.7,14.0
2021-02-14 12:00:00+00:00,7.7,12.0
2021-02-14 13:00:00+00:00,6.4,9.8
2021-02-14 14:00:00+00:00,5.4,8.2
2021-02-14 15:00:00+00:00,5.3,7.8
2021-02-14 16:00:00+00:00,4.4,6.5
2021-02-14 17:00:00+00:00,6.9,9.7
2021-02-14 18:00:00+00:00,5.0,7.0
2021-02-14 19:00:00+00:00,5.0,7.4
2021-02-14 20:00:00+00:00,5.2,7.5
2021-02-14 21:00:00+00:00,2.6,4.2
2021-02-14 22:00:00+00:00,2.4,4.2
2021-02-14 23:00:00+00:00,2.2,4.4
2021-02-16 00:00:00+00:00,1.7,4.3
2021-02-16 01:00:00+00:00,3.0,5.8
2021-02-16 02:00:00+00:00,8.0,13.0
2021-02-16 03:00:00+00:00,8.3,13.0
2021-02-16 04:00:00+00:00,4.8,7.6
2021-02-16 05:00:00+00:00,0.069,0.49
2021-02-16 06:00:00+00:00,0.27,2.3
2021-02-16 07:00:00+00:00,0.31,2.4
2021-02-16 08:00:00+00:00,0.22,2.3
2021-02-16 09:00:00+00:00,0.076,1.6
2021-02-16 10:00:00+00:00,0.045,1.3
2021-02-16 11:00:00+00:00,0.033,1.3
2021-02-16 12:00:00+00:00,0.07,1.1
2021-02-16 13:00:00+00:00,0.0034,0.49
2021-02-16 14:00:00+00:00,0.045,1.1
2021-02-16 15:00:00+00:00,0.043,1.2
2021-02-16 16:00:00+00:00,0.066,0.98
2021-02-16 17:00:00+00:00,0.33,1.7
2021-02-16 18:00:00+00:00,0.54,2.3
2021-02-16 19:00:00+00:00,0.85,3.0
2021-02-16 20:00:00+00:00,0.2,1.7
2021-02-16 21:00:00+00:00,0.3,2.0
2021-02-16 22:00:00+00:00,0.41,2.2
2021-02-16 23:00:00+00:00,0.27,1.7
2021-02-17 00:00:00+00:00,0.18,1.4
2021-02-17 01:00:00+00:00,1.5,3.6
2021-02-17 02:00:00+00:00,1.7,4.0
2021-02-17 03:00:00+00:00,0.15,1.2
2021-02-17 04:00:00+00:00,0.44,1.8
2021-02-17 05:00:00+00:00,0.047,0.7
2021-02-17 06:00:00+00:00,0.0067,0.2
2021-02-17 07:00:00+00:00,0.0033,0.1
2021-02-17 08:00:00+00:00,0.052,1.2
2021-02-17 09:00:00+00:00,0.011,0.87
2021-02-17 10:00:00+00:00,0.029,0.91
2021-02-17 11:00:00+00:00,0.056,1.1
2021-02-17 12:00:00+00:00,0.021,1.3
2021-02-17 13:00:00+00:00,0.014,1.1
2021-02-17 14:00:00+00:00,0.04,1.4
2021-02-17 15:00:00+00:00,0.047,1.6
2021-02-17 16:00:00+00:00,0.33,2.3
2021-02-17 17:00:00+00:00,0.13,1.9
2021-02-17 18:00:00+00:00,0.83,3.3
2021-02-17 19:00:00+00:00,0.49,2.7
2021-02-17 20:00:00+00:00,0.16,1.7
2021-02-17 21:00:00+00:00,0.23,2.1
2021-02-17 22:00:00+00:00,0.61,3.0
2021-02-17 23:00:00+00:00,2.0,4.6
2021-02-18 00:00:00+00:00,5.5,8.6
2021-02-18 01:00:00+00:00,7.4,11.0
2021-02-18 02:00:00+00:00,6.4,9.8
2021-02-18 03:00:00+00:00,1.6,2.8
2021-02-18 04:00:00+00:00,0.057,0.45
2021-02-18 05:00:00+00:00,0.19,1.1
2021-02-18 06:00:00+00:00,0.29,1.5
2021-02-18 07:00:00+00:00,0.18,1.2
2021-02-18 08:00:00+00:00,0.048,0.49
2021-02-18 09:00:00+00:00,0.0,0.013
2021-02-18 10:00:00+00:00,0.0,0.047
2021-02-18 11:00:00+00:00,0.024,0.35
2021-02-18 12:00:00+00:00,0.053,0.41
2021-02-18 13:00:00+00:00,0.0,0.14
2021-02-18 14:00:00+00:00,0.0,0.059
2021-02-18 15:00:00+00:00,0.0,0.014
2021-02-18 16:00:00+00:00,0.052,0.39
2021-02-18 17:00:00+00:00,0.017,0.43
2021-02-18 18:00:00+00:00,0.013,0.25
2021-02-18 19:00:00+00:00,0.19,1.3
2021-02-18 20:00:00+00:00,0.12,1.4
2021-02-18 21:00:00+00:00,0.16,1.6
2021-02-18 22:00:00+00:00,0.15,1.5
2021-02-18 23:00:00+00:00,0.0077,0.78
2021-02-19 00:00:00+00:00,0.083,0.81
2021-02-19 01:00:00+00:00,0.09,0.89
2021-02-19 02:00:00+00:00,0.18,1.3
2021-02-19 03:00:00+00:00,0.16,1.5
