id,name,locality,timezone,is_mobile,is_monitor,instruments,sensors,bounds,distance,country.id,country.code,country.name,owner.id,owner.name,provider.id,provider.name,coordinates.latitude,coordinates.longitude,datetime_first.utc,datetime_first.local,datetime_last.utc,datetime_last.local
1396,Leeds Headingley Kerbside,Leeds,Europe/London,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 2500, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 4938, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 4940, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}]","[-1.5763609999999997, 53.819972, -1.5763609999999997, 53.819972]",3416.71981658,145,GB,United Kingdom,4,Unknown Governmental Organization,169,DEFRA,53.819972,-1.5763609999999997,2016-02-27T21:00:00+00:00,2016-02-27T21:00:00+00:00,2024-02-27T06:00:00+00:00,2024-02-27T06:00:00+00:00
2301,Bradford Mayo Avenue,Bradford,Europe/London,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 5079259, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}]","[-1.759774, 53.771245, -1.759774, 53.771245]",14375.57851121,145,GB,United Kingdom,4,Unknown Governmental Organization,169,DEFRA,53.771245,-1.759774,2022-10-04T18:00:00+00:00,2022-10-04T19:00:00+01:00,2024-02-27T05:00:00+00:00,2024-02-27T05:00:00+00:00
2523,Leeds Centre,Leeds,Europe/London,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 4979, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 4971, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 4977, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 4960, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 4958, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}]","[-1.546472, 53.80378, -1.546472, 53.80378]",946.00517576,145,GB,United Kingdom,4,Unknown Governmental Organization,169,DEFRA,53.80378,-1.546472,2016-02-27T21:00:00+00:00,2016-02-27T21:00:00+00:00,2024-02-27T06:00:00+00:00,2024-02-27T06:00:00+00:00
66170,"ULeeds(SEE, North Bldg)",,Europe/London,False,False,"[{'id': 3, 'name': 'PurpleAir Sensor'}]","[{'id': 7231997, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'display_name': 'PM0.3 count'}}, {'id': 403798, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 7231988, 'name': 'um005 particles/cm³', 'parameter': {'id': 133, 'name': 'um005', 'units': 'particles/cm³', 'display_name': 'PM0.5'}}, {'id': 403799, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 7231996, 'name': 'um050 particles/cm³', 'parameter': {'id': 129, 'name': 'um050', 'units': 'particles/cm³', 'display_name': 'PM5.0 count'}}, {'id': 913963, 'name': 'um010 particles/cm³', 'parameter': {'id': 126, 'name': 'um010', 'units': 'particles/cm³', 'display_name': 'PM1 count'}}, {'id': 913961, 'name': 'um100 particles/cm³', 'parameter': {'id': 135, 'name': 'um100', 'units': 'particles/cm³', 'display_name': 'PM10 count'}}, {'id': 913962, 'name': 'um025 particles/cm³', 'parameter': {'id': 130, 'name': 'um025', 'units': 'particles/cm³', 'display_name': 'PM2.5 count'}}, {'id': 403800, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'display_name': 'PM1'}}]","[-1.555872, 53.805824, -1.555872, 53.805824]",1356.11904134,145,GB,United Kingdom,6,Unknown Community Organization,215,PurpleAir,53.805824,-1.555872,2021-01-20T00:00:00+00:00,2021-01-20T00:00:00+00:00,2023-10-19T06:32:25+00:00,2023-10-19T07:32:25+01:00
70185,Brackenhill Primary School - Spruce Classroom,,Europe/London,False,False,"[{'id': 3, 'name': 'PurpleAir Sensor'}]","[{'id': 415845, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'display_name': 'PM1'}}, {'id': 891644, 'name': 'um025 particles/cm³', 'parameter': {'id': 130, 'name': 'um025', 'units': 'particles/cm³', 'display_name': 'PM2.5 count'}}, {'id': 891645, 'name': 'um010 particles/cm³', 'parameter': {'id': 126, 'name': 'um010', 'units': 'particles/cm³', 'display_name': 'PM1 count'}}, {'id': 415844, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 891643, 'name': 'um100 particles/cm³', 'parameter': {'id': 135, 'name': 'um100', 'units': 'particles/cm³', 'display_name': 'PM10 count'}}, {'id': 415843, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}]","[-1.791, 53.779, -1.791, 53.779]",16282.24376695,145,GB,United Kingdom,6,Unknown Community Organization,215,PurpleAir,53.779,-1.791,2021-01-14T01:18:41+00:00,2021-01-14T01:18:41+00:00,2021-02-22T16:37:58+00:00,2021-02-22T16:37:58+00:00
71003,St Stephen's Roof,,Europe/London,False,False,"[{'id': 3, 'name': 'PurpleAir Sensor'}]","[{'id': 418299, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'display_name': 'PM1'}}, {'id': 913844, 'name': 'um100 particles/cm³', 'parameter': {'id': 135, 'name': 'um100', 'units': 'particles/cm³', 'display_name': 'PM10 count'}}, {'id': 913846, 'name': 'um010 particles/cm³', 'parameter': {'id': 126, 'name': 'um010', 'units': 'particles/cm³', 'display_name': 'PM1 count'}}, {'id': 418298, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 913845, 'name': 'um025 particles/cm³', 'parameter': {'id': 130, 'name': 'um025', 'units': 'particles/cm³', 'display_name': 'PM2.5 count'}}, {'id': 418297, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}]","[-1.755614, 53.77879, -1.755614, 53.77879]",13969.99143484,145,GB,United Kingdom,6,Unknown Community Organization,215,PurpleAir,53.77879,-1.755614,2021-01-14T01:19:16+00:00,2021-01-14T01:19:16+00:00,2023-05-11T13:56:15+00:00,2023-05-11T14:56:15+01:00
73013,Beckfoot Allerton,,Europe/London,False,False,"[{'id': 3, 'name': 'PurpleAir Sensor'}]","[{'id': 424328, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 424327, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 5163488, 'name': 'um005 particles/cm³', 'parameter': {'id': 133, 'name': 'um005', 'units': 'particles/cm³', 'display_name': 'PM0.5'}}, {'id': 5163490, 'name': 'humidity %', 'parameter': {'id': 134, 'name': 'humidity', 'units': '%', 'display_name': 'H'}}, {'id': 914307, 'name': 'um025 particles/cm³', 'parameter': {'id': 130, 'name': 'um025', 'units': 'particles/cm³', 'display_name': 'PM2.5 count'}}, {'id': 5163491, 'name': 'pressure mb', 'parameter': {'id': 132, 'name': 'pressure', 'units': 'mb', 'display_name': 'Pressure'}}, {'id': 5163489, 'name': 'um050 particles/cm³', 'parameter': {'id': 129, 'name': 'um050', 'units': 'particles/cm³', 'display_name': 'PM5.0 count'}}, {'id': 5163492, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'T'}}, {'id': 424329, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'display_name': 'PM1'}}, {'id': 5163493, 'name': 'temperature f', 'parameter': {'id': 128, 'name': 'temperature', 'units': 'f', 'display_name': 'Temperature (F)'}}, {'id': 5163487, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'display_name': 'PM0.3 count'}}, {'id': 914306, 'name': 'um100 particles/cm³', 'parameter': {'id': 135, 'name': 'um100', 'units': 'particles/cm³', 'display_name': 'PM10 count'}}, {'id': 914308, 'name': 'um010 particles/cm³', 'parameter': {'id': 126, 'name': 'um010', 'units': 'particles/cm³', 'display_name': 'PM1 count'}}]","[-1.822377, 53.80422, -1.822377, 53.80422]",18270.42782778,145,GB,United Kingdom,6,Unknown Community Organization,215,PurpleAir,53.80422,-1.822377,2021-01-14T01:18:24+00:00,2021-01-14T01:18:24+00:00,2023-09-28T13:34:25+00:00,2023-09-28T14:34:25+01:00
220515,Heaton St Barnabas Primary,,Europe/London,False,False,"[{'id': 3, 'name': 'PurpleAir Sensor'}]","[{'id': 5881857, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'display_name': 'PM0.3 count'}}, {'id': 5882360, 'name': 'pressure mb', 'parameter': {'id': 132, 'name': 'pressure', 'units': 'mb', 'display_name': 'Pressure'}}, {'id': 5881220, 'name': 'humidity %', 'parameter': {'id': 134, 'name': 'humidity', 'units': '%', 'display_name': 'H'}}, {'id': 5882210, 'name': 'um050 particles/cm³', 'parameter': {'id': 129, 'name': 'um050', 'units': 'particles/cm³', 'display_name': 'PM5.0 count'}}, {'id': 5881337, 'name': 'temperature f', 'parameter': {'id': 128, 'name': 'temperature', 'units': 'f', 'display_name': 'Temperature (F)'}}, {'id': 5881609, 'name': 'um005 particles/cm³', 'parameter': {'id': 133, 'name': 'um005', 'units': 'particles/cm³', 'display_name': 'PM0.5'}}, {'id': 1218485, 'name': 'um100 particles/cm³', 'parameter': {'id': 135, 'name': 'um100', 'units': 'particles/cm³', 'display_name': 'PM10 count'}}, {'id': 5881336, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'T'}}, {'id': 1218489, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 1218487, 'name': 'um010 particles/cm³', 'parameter': {'id': 126, 'name': 'um010', 'units': 'particles/cm³', 'display_name': 'PM1 count'}}, {'id': 1218486, 'name': 'um025 particles/cm³', 'parameter': {'id': 130, 'name': 'um025', 'units': 'particles/cm³', 'display_name': 'PM2.5 count'}}, {'id': 1218490, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'display_name': 'PM1'}}, {'id': 1218488, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}]","[-1.786535, 53.817112, -1.786535, 53.817112]",16063.87645975,145,GB,United Kingdom,6,Unknown Community Organization,215,PurpleAir,53.817112,-1.786535,2021-02-12T16:21:19+00:00,2021-02-12T16:21:19+00:00,2024-02-08T11:02:01+00:00,2024-02-08T11:02:01+00:00
220761,Dixons Music Primary School,,Europe/London,False,False,"[{'id': 3, 'name': 'PurpleAir Sensor'}]","[{'id': 1284401, 'name': 'um010 particles/cm³', 'parameter': {'id': 126, 'name': 'um010', 'units': 'particles/cm³', 'display_name': 'PM1 count'}}, {'id': 1284400, 'name': 'um025 particles/cm³', 'parameter': {'id': 130, 'name': 'um025', 'units': 'particles/cm³', 'display_name': 'PM2.5 count'}}, {'id': 1284399, 'name': 'um100 particles/cm³', 'parameter': {'id': 135, 'name': 'um100', 'units': 'particles/cm³', 'display_name': 'PM10 count'}}, {'id': 1284403, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 1284404, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'display_name': 'PM1'}}, {'id': 1284402, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}]","[-1.762425, 53.787216, -1.762425, 53.787216]",14324.3751598,145,GB,United Kingdom,6,Unknown Community Organization,215,PurpleAir,53.787216,-1.762425,2021-02-16T20:45:50+00:00,2021-02-16T20:45:50+00:00,2022-07-01T16:45:44+00:00,2022-07-01T17:45:44+01:00
223977,Brackenhill,,Europe/London,False,False,"[{'id': 3, 'name': 'PurpleAir Sensor'}]","[{'id': 1297025, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 1297026, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'display_name': 'PM1'}}, {'id': 6506160, 'name': 'temperature f', 'parameter': {'id': 128, 'name': 'temperature', 'units': 'f', 'display_name': 'Temperature (F)'}}, {'id': 1297023, 'name': 'um010 particles/cm³', 'parameter': {'id': 126, 'name': 'um010', 'units': 'particles/cm³', 'display_name': 'PM1 count'}}, {'id': 6506157, 'name': 'humidity %', 'parameter': {'id': 134, 'name': 'humidity', 'units': '%', 'display_name': 'H'}}, {'id': 1297022, 'name': 'um025 particles/cm³', 'parameter': {'id': 130, 'name': 'um025', 'units': 'particles/cm³', 'display_name': 'PM2.5 count'}}, {'id': 1297021, 'name': 'um100 particles/cm³', 'parameter': {'id': 135, 'name': 'um100', 'units': 'particles/cm³', 'display_name': 'PM10 count'}}, {'id': 6506158, 'name': 'pressure mb', 'parameter': {'id': 132, 'name': 'pressure', 'units': 'mb', 'display_name': 'Pressure'}}, {'id': 1297024, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 6506154, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'display_name': 'PM0.3 count'}}, {'id': 6506156, 'name': 'um050 particles/cm³', 'parameter': {'id': 129, 'name': 'um050', 'units': 'particles/cm³', 'display_name': 'PM5.0 count'}}, {'id': 6506155, 'name': 'um005 particles/cm³', 'parameter': {'id': 133, 'name': 'um005', 'units': 'particles/cm³', 'display_name': 'PM0.5'}}]","[-1.790474, 53.779205, -1.790474, 53.779205]",16245.22061764,145,GB,United Kingdom,6,Unknown Community Organization,215,PurpleAir,53.779205,-1.790474,2021-04-05T12:54:12+00:00,2021-04-05T13:54:12+01:00,2024-02-27T09:12:42+00:00,2024-02-27T09:12:42+00:00
